subset,label,person,id,acceleration,time,dimension
train,swiperight,james,10,-34.0,0.6,y
train,swiperight,james,10,0.0,0.6,z
train,swiperight,james,10,6.0,0.7,x
train,swiperight,james,10,-65.0,0.7,y
train,swiperight,james,10,28.0,0.7,z
train,swiperight,james,10,70.0,0.8,x
train,swiperight,james,10,-11.0,0.8,y
train,swiperight,james,10,-19.0,0.8,z
train,swiperight,james,10,15.0,0.9,x
train,swiperight,james,10,0.0,0.9,y
train,swiperight,james,10,-32.0,0.9,z
train,swiperight,james,10,6.0,1.0,x
train,swiperight,james,10,-12.0,1.0,y
train,swiperight,james,10,-21.0,1.0,z
train,swiperight,james,10,5.0,1.1,x
train,swiperight,james,10,-37.0,1.1,y
train,swiperight,james,10,-18.0,1.1,z
train,swiperight,james,10,4.0,1.2,x
train,swiperight,james,10,-48.0,1.2,y
train,swiperight,james,10,-26.0,1.2,z
train,swiperight,james,10,0.0,1.3,x
train,swiperight,james,10,-30.0,1.3,y
train,swiperight,james,10,-19.0,1.3,z
train,swiperight,james,10,6.0,1.4,x
train,swiperight,james,10,-26.0,1.4,y
train,swiperight,james,10,-21.0,1.4,z
train,swiperight,james,11,-31.0,0.0,x
train,swiperight,james,11,-13.0,0.0,y
train,swiperight,james,11,-14.0,0.0,z
train,swiperight,james,11,-29.0,0.1,x
train,swiperight,james,11,-11.0,0.1,y
train,swiperight,james,11,-4.0,0.1,z
train,swiperight,james,11,-28.0,0.2,x
train,swiperight,james,11,-10.0,0.2,y
train,swiperight,james,11,-9.0,0.2,z
train,swiperight,james,11,-26.0,0.3,x
train,swiperight,james,11,-3.0,0.3,y
train,swiperight,james,11,-10.0,0.3,z
train,swiperight,james,11,-22.0,0.4,x
train,swiperight,james,11,-21.0,0.4,y
train,swiperight,james,11,-12.0,0.4,z
train,swiperight,james,11,-10.0,0.5,x
train,swiperight,james,11,-31.0,0.5,y
train,swiperight,james,11,-2.0,0.5,z
train,swiperight,james,11,-15.0,0.6,x
